ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,MODZCTA,cases,Total,zcta_cum.perc_pos,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
11423,0,Hollis,30243.0,45095032.1009242,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11423,890,1762,50.51,11423,31400.0,26945.0,2807.0,12083.0,8950.0,13012.0,4455.0,3.1610217635639115,8.2,15291.0,16109.0,7064.0,4768.0,1933.0,40.8,2817.0,9.1,70266.0,102305,0.2966747167007245,0.15184713375796177,0.08939490445859873,0.9106050955414012,0.38480891719745225,0.14187898089171974,28.343949044585987
11428,0,Queens Village,18818.0,21927545.4923289,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11428,601,1133,53.05,11428,18929.0,14134.0,2095.0,3834.0,4805.0,4770.0,4795.0,3.4029327096077724,4.9,9208.0,9721.0,4111.0,2870.0,847.0,40.8,1597.0,8.4,73699.0,92621,0.3077423552374756,0.1516192086216916,0.11067673939457974,0.8893232606054202,0.2025463574409636,0.25331501928258227,31.750224523218343
11432,0,Jamaica,62075.0,60177575.6380646,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11432,1519,2970,51.14,11432,62053.0,46891.0,8027.0,9134.0,25619.0,11039.0,15162.0,3.0978762063945653,19.3,29294.0,32759.0,12405.0,8677.0,3979.0,36.0,8662.0,14.9,55906.0,89037,0.2939243515346431,0.13983207902921696,0.1293571624256684,0.8706428375743316,0.14719675116432726,0.2443395162200055,24.47907433967737
11379,0,Middle Village,35428.0,57622817.0453818,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11379,708,1655,42.78,11379,37851.0,30230.0,25050.0,324.0,4152.0,730.0,7621.0,2.776023400473933,4.0,17886.0,19965.0,8999.0,6658.0,3324.0,42.7,3167.0,8.5,82819.0,114239,0.1955851063829787,0.17590024041636945,0.661805500515178,0.33819449948482205,0.008559879527621463,0.20134210456791102,18.704921930728382
11429,0,Queens Village,25116.0,39559398.2845283,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11429,835,1536,54.36,11429,27403.0,23998.0,434.0,20276.0,1122.0,21302.0,3405.0,3.713188010899183,6.6,12851.0,14552.0,5873.0,3963.0,1656.0,39.0,2406.0,8.8,83240.0,102268,0.29022654661632297,0.14461920227712294,0.015837682005619823,0.9841623179943801,0.7399189869722294,0.12425646826989746,30.471116301134913
11435,0,Jamaica,53404.0,42105899.1565062,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11435,1390,2935,47.36,11435,59296.0,40868.0,6737.0,13287.0,14393.0,14940.0,18428.0,3.0756098336335698,14.2,29447.0,29849.0,10459.0,7061.0,2864.0,35.8,9220.0,15.8,64086.0,84593,0.3116013127177995,0.11908054506206152,0.11361643281165677,0.8863835671883432,0.22407919589854292,0.31077981651376146,23.44171613599568
11415,0,Kew Gardens,18990.0,16802279.5094065,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11415,453,1014,44.67,11415,19372.0,14539.0,9010.0,967.0,3671.0,1364.0,4833.0,2.3082217448382862,10.2,9253.0,10119.0,4236.0,3087.0,1227.0,38.9,2384.0,12.3,68294.0,109205,0.20079273008507348,0.15935370638034277,0.4651042742102003,0.5348957257897997,0.04991740656617799,0.24948379103861243,23.384265950856907
11418,0,Richmond Hill,36607.0,32025130.9227912,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11418,922,1972,46.75,11418,38517.0,20914.0,6312.0,2460.0,9217.0,3674.0,17603.0,3.4836396050466267,12.0,19354.0,19163.0,6763.0,4357.0,1809.0,35.1,5629.0,14.7,66570.0,86064,0.3315809441222698,0.11311888257133214,0.16387569125321286,0.8361243087467871,0.06386790248461718,0.4570189786328115,23.937482150738635
11433,0,Jamaica,33679.0,47739432.5965324,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11433,824,1701,48.44,11433,36489.0,29596.0,600.0,22628.0,3195.0,24254.0,6893.0,3.4534271318566403,9.2,16723.0,19766.0,6616.0,4469.0,1758.0,35.0,6206.0,17.1,51521.0,75616,0.3967215197916005,0.12247526651867686,0.01644331168297295,0.983556688317027,0.6201320946038532,0.18890624571788758,22.582148044616186
11221,0,Brooklyn,80232.0,38580480.4343075,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11221,1071,2421,44.24,11221,83835.0,55054.0,13793.0,36355.0,2815.0,42967.0,28781.0,2.6786848498590907,6.6,40147.0,43688.0,12040.0,8676.0,3464.0,31.6,19276.0,23.2,50153.0,77374,0.2474626359518446,0.10348899624261942,0.16452555615196518,0.8354744438480348,0.43364943042881854,0.34330530208146953,12.775093934514224
